LOG1;LOCAL;TIPO_ACID;DIA_SEM;TEMPO;NOITE_DIA;REGIAO;LONGITUDE;LATITUDE;ANO
AV BENTO GONCALVES;Cruzamento;ABALROAMENTO;DOMINGO;BOM;NOITE;LESTE;-51,12748;-30,076072;2013
AV WENCESLAU ESCOBAR;Logradouro;COLISAO;TERCA-FEIRA;BOM;DIA;SUL;-51,253816;-30,11512;2013
AV BENTO GONCALVES;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;LESTE;-51,125714;-30,075937;2013
AV SERTORIO;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;NORTE;-51,195477;-29,999849;2013
AV BRASIL;Logradouro;ABALROAMENTO;DOMINGO;CHUVOSO;DIA;NORTE;-51,197266;-30,005444;2013
AV NONOAI;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;SUL;-51,219718;-30,090084;2013
AV DEZ DE MAIO;Logradouro;ATROPELAMENTO;DOMINGO;BOM;DIA;NORTE;-51,12249;-30,022225;2013
AV ALVARENGA;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;NORTE;-51,178283;-30,023746;2013
R DR SALVADOR FRANCA;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;LESTE;-51,18197;-30,052942;2013
AV BENTO GONCALVES;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;DIA;LESTE;-51,185611;-30,062426;2013
ESTR AFONSO LOURENCO MARIANTE;Logradouro;QUEDA;SABADO;CHUVOSO;DIA;SUL;-51,160551;-30,110491;2013
AV ICARAI;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;SUL;-51,242603;-30,092194;2013
AV CRISTOVAO COLOMBO;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;CHUVOSO;NOITE;NORTE;-51,190478;-30,016763;2013
AV JAIME VIGNOLI;Logradouro;CAPOTAGEM;SABADO;CHUVOSO;NOITE;NORTE;-51,172943;-29,973529;2013
AV BALTAZAR DE OLIVEIRA GARCIA;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;NORTE;-51,12663;-30,010877;2013
AV DA AZENHA;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;DIA;SUL;-51,213558;-30,047009;2013
AV PROF OSCAR PEREIRA;Logradouro;ABALROAMENTO;SABADO;NUBLADO;NOITE;SUL;-51,20555;-30,066654;2013
AV BENTO GONCALVES;Logradouro;COLISAO;TERCA-FEIRA;BOM;DIA;LESTE;-51,189674;-30,060453;2013
R JOAO DO RIO;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;DIA;SUL;-51,193581;-30,067287;2013
AV JUCA BATISTA;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;DIA;SUL;-51,187153;-30,159552;2013
R MOSTARDEIRO;Cruzamento;CHOQUE;QUINTA-FEIRA;BOM;NOITE;LESTE;-51,195985;-30,027424;2013
AV PROTASIO ALVES;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;LESTE;-51,202949;-30,037394;2013
AV FARRAPOS;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;CENTRO;-51,215921;-30,024902;2013
AV BRASIL;Logradouro;ABALROAMENTO;SEGUNDA-FEIRA;BOM;NOITE;NORTE;-51,193649;-30,006612;2013
